epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5223.48,2.54376,2.47312,3.59763,2.50782,0,0.00685,0.2474,0.028,0.00423,0.00683,0.24828,0.02828,0.00487,2.85211,1.59188,3.71637,2.79548,0,0.000332384,0.000332384,0.000332384
2,10215.7,2.74693,1.60593,3.78814,2.65079,0,0.50892,0.00802,0.00218,0.00046,0.50653,0.00974,0.00199,0.0004,3.05989,1.58203,4.48914,2.94346,0,0.000649241,0.000649241,0.000649241
3,14588.1,2.78561,1.77838,4.00502,2.69057,0,0.0042,0.02635,0.00251,0.00059,0.00234,0.03608,0.00225,0.00057,3.01425,1.57491,4.29245,2.81668,0,0.000949597,0.000949597,0.000949597
4,18890.1,2.80463,1.57421,4.00235,2.72524,0,0.00093,0.15387,0.00202,0.0004,0.00087,0.14532,0.00182,0.00033,3.08133,1.62451,4.14076,2.87684,0,0.00092575,0.00092575,0.00092575
5,23263.1,2.78523,1.64155,3.93021,2.70624,0,0.17614,0.00458,0.00234,0.00056,0.17894,0.00401,0.00314,0.00068,2.87154,1.56045,4.0378,2.77894,0,0.000901,0.000901,0.000901
6,27978.9,2.74445,1.57762,3.95482,2.65559,0,0.1763,0.00573,0.00452,0.00119,0.00591,0.01375,0.00358,0.00079,2.96446,1.58422,3.9259,2.80734,0,0.00087625,0.00087625,0.00087625
7,31321.9,2.67165,1.60305,3.86821,2.57793,0,0.33919,0.09477,0.00662,0.00147,0.00156,0.22083,0.00459,0.001,2.89362,1.56282,3.85063,2.77845,0,0.0008515,0.0008515,0.0008515
8,35844,2.59997,1.62033,3.80341,2.56548,0,0.17589,0.00802,0.00543,0.00148,0.17589,0.00802,0.00402,0.00104,2.86644,1.51903,3.86644,2.72011,0,0.00082675,0.00082675,0.00082675
9,39026.9,2.54495,1.55813,3.72697,2.45973,0,0.17867,0.01489,0.00718,0.00201,0.17355,0.0126,0.00519,0.00141,2.79145,1.49261,4.01804,2.60734,0,0.000802,0.000802,0.000802
10,43326.4,2.55026,1.53988,3.69644,2.46978,0,0.18042,0.01088,0.01055,0.0025,0.18259,0.0126,0.00921,0.00218,2.76958,1.48365,3.72198,2.61758,0,0.00077725,0.00077725,0.00077725
11,47103.4,2.49833,1.51973,3.60872,2.40239,0,0.17327,0.02463,0.01137,0.00287,0.17281,0.02291,0.00919,0.00204,2.70038,1.53903,3.76328,2.55128,0,0.0007525,0.0007525,0.0007525
12,51324.2,2.50227,1.63451,3.64047,2.43429,0,0.17492,0.00458,0.02329,0.00589,0.17609,0.00515,0.01442,0.00368,2.69205,1.53466,3.63188,2.57509,0,0.00072775,0.00072775,0.00072775
13,54847.3,2.45481,1.56472,3.58622,2.40655,0,0.35249,0.01546,0.01676,0.00443,0.35292,0.01546,0.01311,0.00393,2.53085,1.50925,3.51916,2.47223,0,0.000703,0.000703,0.000703
14,58567.7,2.41407,1.53394,3.54174,2.32394,0,0.35485,0.01546,0.01149,0.00311,0.35406,0.01489,0.00952,0.00257,2.5664,1.5285,3.54199,2.45856,0,0.00067825,0.00067825,0.00067825
15,62081.8,2.42134,1.53478,3.50706,2.37339,0,0.35175,0.00974,0.01617,0.00404,0.35175,0.00974,0.01407,0.00379,2.65354,1.5347,3.38069,2.54015,0,0.0006535,0.0006535,0.0006535
16,66688.9,2.38634,1.63014,3.45592,2.33745,0,0.05692,0.04762,0.01868,0.00558,0.05492,0.03961,0.01488,0.00425,2.58344,1.47919,3.4529,2.46524,0,0.00062875,0.00062875,0.00062875
17,69744.9,2.42813,1.6103,3.47305,2.32293,0,0.19989,0.03829,0.01218,0.00325,0.19507,0.03229,0.01067,0.00309,2.60708,1.46014,3.39681,2.47096,0,0.000604,0.000604,0.000604
18,72832.8,2.36092,1.55545,3.45092,2.27907,0,0.26077,0.02707,0.02634,0.00711,0.22515,0.02073,0.01551,0.0042,2.54215,1.48308,3.27991,2.4453,0,0.00057925,0.00057925,0.00057925
19,76130.2,2.32108,1.58196,3.41921,2.30779,0,0.18329,0.03768,0.01589,0.00467,0.1878,0.02348,0.01305,0.00359,2.55422,1.48996,3.46202,2.46163,0,0.0005545,0.0005545,0.0005545
20,80040.6,2.35715,1.51834,3.32099,2.28641,0,0.58231,0.05741,0.03307,0.01052,0.5782,0.0429,0.03064,0.00876,2.46604,1.46225,3.23864,2.38377,0,0.00052975,0.00052975,0.00052975
21,83985.7,2.34846,1.47913,3.30596,2.23388,0,0.41292,0.03867,0.02847,0.00885,0.38893,0.03129,0.01999,0.00634,2.50584,1.47992,3.25358,2.39278,0,0.000505,0.000505,0.000505
